,Filters Applied,,,,,,,
,386,I Wanted Some More Shampoo And Conditioner And I Had To Ask Multiple Times.,,,,,,
,389,As Previously Stated. Soft Furnishings Very Nice And Comfy Bed.,,,,,,
,391,Air Conditioning Needed Desperately In Warm Weather As The Rooms Become Very Stuffy,,,,,,
,392,24. Very Wobbly Headboard - Could Not Move At All Without It Banging On The Wall Behind The Bed.,,,,,,
,395,The Room Was Very Hot And Uncomfortable During This Hot Weather - Perhaps Some Air-Conditioning Should Be Considered?,,,,,,
,396,It Was Too Hot  Unbearable,,,,,,
,401,Cover The Hot Water Pipe In The Floor. Bathroom Excellent When You Figure Out How The Shower Works.,,,,,,
,402,Very Comfortable!,,,,,,
,405,The First Night Was In The Courtyard Room Designed For People With Disabilities And Frankly Disappointing. The Second Night We Were Upgraded To Suite 5 Which Was Excellent.,,,,,,
,409,Room32  Would Have Liked To Have The Facilities Of Tea/Coffee   When Reading The Comments In The Guest Book  Quite A Few Previous Guest Also Made This Comments  Being An Early Riser Would Have Appreciated This  ,,,,,,
,412,The Room Was Extremely Hot. We Had A Fan But This Did Little To Cool The Room. We Stayed During The Recent Really Hot Weather So There Isn't Much Else That Could Have Been Done. Also  Would Be Nice To Have Tea/Coffee Making Facilities.,,,,,,
,413,Room 28  Sash Windows Don't Close Tight  Creating A Draft  Curtains Don't Close Tight Meaning Room Is Very Light.  Extractor Fan In Bathroom Very Loud.,,,,,,
,414,51 I Would Have Expected Bath Robes In A Hotel Such As This,,,,,,
,415,We Loved The Design Of Our Room  However There Were Minor Points That Made It Appear Less Luxurious  In Our Opinion. Those In Questions Are The Pink Alarm Clock With An Ipod Speaker  Gigantic Lamps And Standing Shower That Does Not Drain. In Addition  One Of The Windows Did Not Have A Lock.,,,,,,
,416,Suite 1. Great. Upgraded From A Cotswold Double,,,,,,
,417,Would Have Liked Tea/Coffee Making Facility,,,,,,
,418,A Couple Of Comments About The Room.  We Stayed In The Annex  And Although The Bathroom Was Very Well Decorated It Was  Frankly  Too Small And Cramped And Not What You Would Expect When Paying A Relatively High Price For The Room Secondly  The Absence Of Corporate Feel Was Good  Up To A Point.  However  Not Supplying Tea Making Facilities Was A Mistake. You 'Lost Points' For That.,,,,,,
,421,I Would Have Preferred To Have Had A Room With A Bath.,,,,,,
,422,There Was No Bath.,,,,,,
,428,I Wouldn't Describe It As Luxurious Butit Was Very Nice - Apart From Being Next To A Staircase And Front Door So Had The Upstairs Guests Tramping Upstairs/Downstairs Which Was Very Noisy.,,,,,,
,429,Room In The House Next Door  Just Inside The Front Door  Left.  Sorry Cant Remember The Number.,,,,,,
,434,Room 51 Would Have Prefered A 1St Floor Room. No Tea & Coffee Making Facliaties In The Room,,,,,,
,435,We Stayed With You Before In May 2012 And Had A Fabulous Time  Everything Was Just Perfect And That Is Why We Came Back Again  But This Time We Were Far From Impressed.  We Stayed In Room 14  Where The Bathroom Had Been Shoe-Horned In And The Toilet Seat Was Badly Cracked Which Is Not Only Very Unhygienic But Also Very Uncomfortable As It Pinches Your Flesh When Sitting On It.  There Are No Bedside Tables  To Put Our Water Or Drinks On.  We Ordered Tea To Be Brought To Our Room For 7.00 A.M. And Rang Reception At 7.20 And Nobody Answered The Phone So Had To Ring Again At 7.30 As Still  Nothing Had Been Delivered And Were Told There Was Only 1 Member Of Staff In The Restaurant And They Were Busy.  I Fail To See Why Tee/Coffee Making Facilities Cannot Be Provided In The Rooms.,,,,,,
,436,33 - We Would Like To Have Tea/Coffee Making Facilities In The Room And A Second Chair Would Have Made The Room More Comfortable.,,,,,,
,441,We Stayed In Room 52 And This Was Perfect As We Had Our Labrador With Us....And We Loved The Patio Area!,,,,,,
,442,Room 51  Shame About The Staircase Leading To Upstairs  As All Movement Was Clearly Heard  Although It Is Appreciated That In Older Buildings  This Would Be Difficult To Improve.,,,,,,
,443,It Was Suite 3. It Was Fine - Again We Stay In Amazing Hotels So I Expect A High Standard. Would Have Liked Tea And Coffee In The Room. For A Suite You Might Consider Upgrading To Better Toiletries?,,,,,,
,444,No Bubbles For The Lovely Bath - Just Shower Gel - Not The Same!!,,,,,,
,447,No Bedside Tables To Put A Night Time Water On. Also One Of The Bottles Of Complimentary Water Was Labelled Still Yet Was Carbonated.,,,,,,
,449,Suite 1 1. We Weren't Able To Watch One Of The Dvd's We Borrowed As I Couldn't Change The Channel On The Tv To The Hdmi Av Input - The 'Tv/Av' Button Simply Didn't Work! I Tried All Manor Of Things But Eventually Had To Give Up. I Might Have Been A Numpty And Pressed All The Wrong Buttons But Consider Myself Reasonably Tech Savvy So Sincerely Hope This Wasn't The Case.   2. The Extractor Fan In The Bathroom Was Particularly Noisy  Probably Just Needs A Clean But Either Way It Certainly Didn't Contribute To A Nice Relaxing Soak In The Bath!,,,,,,
,451,Suite 1 - The Shower Was Rather Weak. Would Have Expected A Power Shower At This Standard Of Hotel.,,,,,,
,452,Our Bedroom Was Fine But Our Friends In 24 Had No Cross Ventilation And It Was Very Hot. The Rooms 23 And 24 Were Nice But Very Expensive For Their Size.,,,,,,
,453,A Pile Of Dirty Towels Had Been Left On The Chair When We Came Back To Our Room In The Evening,,,,,,
,455,Heated Towel Rail Not Working No Shower Gel Or Shampoo Just Soap Staff Getting Up At 6.00Am Noisy And Woke Us Up Only One Dressing Gown Which Was Too Small,,,,,,
,458,The Water In Our Room Wasn't Hot When I Complained To Reception They Upgraded Us To A Suite With No Quibble Excellent Service,,,,,,
,467,The Bath Wasnt Perfectly Clean But The Most Disappointing Were The Products For Going Away Means A Relaxing Bath With Nice Products Which I Expect A Hotel Like Yours To Provide. You Have A Good Brand In The Ladies Room In The Restaurant And I Think They Should Be In The Rooms.Secondly We Had A Real Problem With The Bed  Every Time You Moved It Made A Noise We Reported It In The Morning And I Do Hope You Look Into That Because It Would Put Us Off Returning,,,,,,
,474,Partridge  I Think.  It Would Be Nice To Be Able To Blow Dry Hair In Front Of A Well Lit Mirror.,,,,,,
,477,We Stayed In Suite 3 - Unfortunately As A Result Of Your Kitchen Staff Talking Until 11.30Pm And A Piece Of Black Metal Sheet Near The Fire Escape Banged All Night (Because It Was Windy) The Person Sleeping On The Sofa Bed Did Not Sleep At All Well.,,,,,,
,478,No,,,,,,
,481,Generally Very Clean! But On Entering The Room You Foul See That Under The Bed Was A Layer Of Dust.,,,,,,
,482,There Was Some Dust Under The Bed On Entering The Room  However  Very Good Otherwise.,,,,,,
,486,Too Hot - And We Had Difficulty Turning Off The Bathroom Radiator,,,,,,
,489,Tiny Bit Small With Extra Bed In And Because Of Hot Weather We Needed The Windows Open So Collection Of Bottles Early On Wed Morning Was Very Noisy,,,,,,
,493,Suite 1. Sympathetically Decorated - Extremely Nice!,,,,,,
,494,Our Dog Was Chuffed That She Even Had Her Own Bed - We Needn't Have Brought Hers !!,,,,,,
,498,The Room Did Not Have A View - Overlooked Working Areas,,,,,,
,500,Stayed In Room 43  Bathroom V Compact.Room On A Slant And Bed Rather Uncomfortable.,,,,,,
,502,Wi Fi Access In The Rooms Please,,,,,,
,506,We Stayed In Suite 3 And It Was Wonderful. Lovely Soft Bedding And Lots Of Space To Relax.,,,,,,
,511,I Found Someone Else's Hair In Bathroom And I Think The One Bathrobe Had Been Used .,,,,,,
,512,29 Mallard. This Is An Honest Account And I Hope It Helps. I Will Not Put This On Tripadvisor. Dusty Mirror  No Wine Glasses Or Fridge And It Would Have Been Nice To Have Drinks Making Facilities In The Room. Our Room Was In The Roof And Was Very Hot So Air Con Would Have Been A Big Plus. Only One Robe Was Provided And The Roman Blind In The Bathroom Was A Bit Difficult To Close. The Bed Was Massive And Really Comfortable. The Ensuite Was Clean And Modern With A Good Shower. The Toiletries Were A Nice Touch And Smelt Lovely. Most Of All The Interior Was Modern And Luxurious Which Appealed To Us. We Had A Pleasant Stay.,,,,,,
,516,Suit 1 Far Too Hot During This Hot Spell Needed Fan In Room,,,,,,
,519,We Were Not Really Expecting To Be Put In Room 52 Which Is Kitted Out For The Disabled.  It Was A Nice Room But It Would Have Been Nice To Have Had A Bath And The Toilet Was A Little High.,,,,,,
,520,25 The Room Was On A Slope So Not Pleasant For Sleeping And Generally Felt Disorientating. It Would Have Been Better If Tea And Coffee Facilities Were Available In The Room. The Room Was Also Extremely Hot Even When The Towel Heater Was Turned Off.,,,,,,
,523,Suite 3 - We Were Upgraded And Thought It Was A Beautiful Room,,,,,,
,526,We Would Have Really Valued Tea And Coffee Making Facilities In The Room.  As Someone Who Routinely Wakes Up At 5.30Am  I Would Clearly Not Ask A Member Of Staff To Provide Tea Or Coffee.,,,,,,
,529,Bathroom Very Hot,,,,,,
,531,Mallard Room- Lots Of Loud Strange Noises On Arrival Which Sounded As If In Th Hotel (As If Plumbing/Sawing) But It Stopped Before We Got Back From Dinner.,,,,,,
,532,Not Very Clear On How To Work The Dvd Player But Im Sure Someone With Knowledge Would Be Fine,,,,,,
,534,Suite 4   Room Extremely Hot At Night.,,,,,,
,537,The Bathroom Products Were Not Replaced Each Day,,,,,,
,545,Easier To Have Tea And Coffee Making In Room With Biscuits.....Gives More Flexibility.,,,,,,
,548,I Completely Appreciate That I Booked A Mid Week Break At A Very Reasonable Price So Thought The Room Would Be One Of Your Smaller Ones. It Was Very Small... But Very Nice,,,,,,
,549,Suite 2 - The Room Was Lovely And Warm  But The Bathroom Was Chilly All The Time Even Though The Towel Rail Was Hot.,,,,,,
,551,More Than One Bath/Shower Gel Would Be Helpful Although I Am Sure This Would've Been Provided If I Had Asked.,,,,,,
,553,We Were Upgraded To Suite 5 As We Did Not Want To Stay In The Annex. On Seeing Our Dissapointment We  Were Happily Offered  The Alternative Room Which Was Really Super. It Was A Lovely Treat But I Must Stress That All The Rooms Are Very Nice.,,,,,,
,554,Room 51 : The Creaking Staircase On The Bed Head Wall Caused Considerable Disturbance From Other Guests Using The Stairs (I At First Thought A Small Troupe Of Tap Dancing Elephants Were Practicing Next Door) Especially From 6Am On The Day Of Our Departure. If Sound Proofing Cannot Be Arranged Maybe A Note Could Be Left In The Rooms Above Requesting Consideration For Other Guests.,,,,,,
,557,Room 32 The Room Was Very Clean Nice Comfy Bed  We Just Found The Room Very Dark (Quite Depressing) We Do Understand That It's An Old Building Ect But Maybe Brighter Curtains And Decor Would Help ,,,,,,
,558,The Room Was Clean  However The Dressing Table/Mirror Area Was Quite Dusty  But Overall Really Impressed.,,,,,,
,559,The Room Was A Bit Tired  Shower Fittings Lose  Drafty Windows And Little Sound Proofing Between Floors And Rooms.,,,,,,
,561,Can Hear The Other Guests In Their Room Clearly.,,,,,,
,564,Room Was Quite Depressing And In Desperate Need Of Redecoration And Paintwork Really Dirty.  Not Nice Room At All  Looked Like An Old Granny's Guest Room.,,,,,,
,567,The First Room Which We Were Given(Swan) Was Dark And Miserable  Ie  A New Colour Scheme Would Help  Look At The Room From The Bed And Not The Door And You Will See What I Mean. The Second Room We Were Given After Complaining (24) Was Fine Even Though The Wall Paper Was Rather Overpowering! Need A New Designer Perhaps  However The Tiling In Bathrooms Was Second To None.,,,,,,
,571,A Little Dark.,,,,,,
,572,Room Was Extremely Hot  The Fan Provided Helped But There Seemed To Be Little Air Circulating. Top Floor Rooms Need Enhanced Cooling/ Additional Or Stronger Fans In Hot Weather.,,,,,,
,573,Aylesbury We Found The Room Very Hot During The Night But Noisy When We Opened The Window And Had Difficulty With The Blind In The Bathroom So Consequently Didn't Get A Good Night's Sleep.  We Appreciated The Bottles Of Water In The Bedroom But Would Have Liked Facilities To Make A Hot Drink And There Was Only 1 Bath Robe And I Couldn't Work Out At First How To Run A Hot Bath!,,,,,,
,575,Bedside Lamps Did Not Give Enough Light For Reading Purposes.  We Had The Room Outside In The Courtyard/Garden:  No. 52(?),,,,,,
,581,Sorry Cannot Remember But First Floor Turn Right. Very Unpleasant Smell In Hall Way A Sick Smell,,,,,,
,582,I Would Prefer A Kettle In The Room To Having To Order Tea To Be Brought Up.,,,,,,
,583,No Dressing Gown In The Room And Tea And Coffee Would Have Been Nice. No Indication If The Water Was Free Or Charged Same With The Sweets.,,,,,,
,585,Room 29 Mallard. Beautifully Decorated  The Bed Was Huge And Very Comfy  Pillows Were Lovely. Tea Making Facilities Would Have Been Very Welcome  We Felt Guilty That Someone Would Have Had To Struggle Up The Stairs!!,,,,,,
,588,52 - Dog-Friendly  Nicely Done.,,,,,,
,591,Bed And Pillows Were Particularly Hard. Difficult Nights Sleep.,,,,,,
,594,Would Prefer Tea Making Facility,,,,,,
,605,I Think Our Room Was Number 42 But Cannot Be 100% Certain. It Was Distinctly Average Overall  Aside From A Beautiful Chair There Was Nothing Very Nice About It And It Was So Loud All Through The Night And Morning. A Combination Of Street Noise And Neighbours.,,,,,,
,606,Room 51. Would Have Liked A Kettle In The Room.,,,,,,
,607,52 - No Air Conditioning - Very Hot. Disabled Suite Inappropriately Furnished Re Aids In The Bathroom. No Tea Or Coffee Making Facilities In The Room.,,,,,,
,613,Yes  This Is The Only Reason Why We Would Not Return.  The Situation Of The Hotel Is Such That A Great Deal Of On Street Noise Enters The Room  Whether It Be Late Drinkers Leaving The Local Pub  Deliveries Or Rubbish Removal Early In The Morning.  As A Consequence We Had To Sleep With The Windows Shut.  The Room Was Unbearably Hot And Airless And Both My Husband And I  Who Normally Sleep Extremely Well No Matter Where  Had Just About The Worst Nights Sleep In Recent Years.  We Did Mention This In The Morning On Checkout.,,,,,,
,619,I Would Have Preferred Tea/Coffee Making Facilities And An Ironing Board And Iron In The Room,,,,,,
,620,The Room Was Very Warm And Stuffy But Opening All The Windows Helped.,,,,,,
,623,Lack Of Internet In Room,,,,,,
,624,Breakfast Meeting Only So Please Disregard The Answers In Q8,,,,,,
,626,Did Not Get Much Chance To Enjoy The Room And Facilities As We Were Evacuated By The Fire Brigade,,,,,,
,628,Suite 1 - Surprised That There Were No Tea/Coffee Facilities. However  Never A Problem To Get Tea/Coffee From Staff In The Room Or In The Lounge.,,,,,,
,635,The Table Lamp Did Not Work And The Radio/Ipod Player Had A Fault On Its Aux Input But Apart From That Lovely Room.,,,,,,
,636,None,,,,,,
,639,Rather Dark  Needed Morelighting,,,,,,
,645,Our Upgrade Was Not Expected  All Together A Very Plesant Experience.,,,,,,
,648,The Toilet Was In A Very Poor Way And We Informed Reception  It Was Cleaned Straight Away. Room 26.,,,,,,
,651,I Think We Were 28. I Thought The Actual Room A Good Standard But Not Luxurious. The Sleigh Bed Was Great  But Felt The Quality Of Furniture And Tv Etc Let It Down. The Bathroom However Was Excellent With A Great Bath And So Nice (And Less Dangerous) To Have A Separate Shower.,,,,,,
,652,We Were Upgraded To Suite 5 And Was Amazed Loved The Bath!!!,,,,,,
,654,No,,,,,,
,656,33. Bedding Had Stain And Hair In Bed,,,,,,
,658,It Would Have Been More Comfortable If There Had Been More Pillows Available And Perhapd A Choice Of Duvets,,,,,,
,664,We Were Initally Disappointed With Our Allocated Room As I Had Telephoned Prior To Arrival To Ask If We Could Have An Upgraded Room As It Was My Partners Birthday.  When I Pointed This Our We Were Immedialy Allocated Your Best Suite Which Was Absolutely Wonderful,,,,,,
,668,See Above,,,,,,
,669,Toiletries Looked Good A Bit Basic  Delighted We Were Up Graded Thanks,,,,,,
,670,Suite 2   As Previously Stated  Although The Bed And The Room Was Comfortable And The Bathroom Excellent  We Found The Furnishings And Dã©Cor Rather Dark.  Also  Could Hear The Noise Of The Extractor Fan/Aircon Unit Outside The Fire Exit Door All Night (Fortunately I Had Earplugs!)  There Was Also A Very Cold Draught Coming Through The Gap Between The Two Bathroom Window Panes  Though Fortunately The Bathroom Radiator Was Very Hot.,,,,,,
,673,I Stayed In Room 51 (The Room Called Snipe  I Think 51 Was The Number) At First I Was Shocked By How Dark It Was And That It Was Like A Store Front. I Do Not Care For Dark Painted Rooms And Dark Fabrics. The Curtains Were Lovely Though  And The Bed  And In General The Room Was Cozy. The Bathtub Plug Does Not Work. The Windows Do Not Open And That Disappointed Me. However If I Opened My Door And The Door To The Building I Could Get Some Air. It Would Be Good To Let The Window Be Opened To Get A Little Fresh Air! The Street Was So Nice And Quiet And In The End I Really Liked The Location Of My Room And Found It Pretty Cozy. The Bed Was Comfortable And Luxurious. Thank You!,,,,,,
,674,Could Not Unlock Or Use The Safe. Two Lightbulbs Not Working,,,,,,
,679,We Were Given Room 33 Where We Found The Bed To Be So Small We Had 2 Nights With Little Or No Sleep Compounded By The Noise From The Street. The Staff Were Fine And Provided A Fan For The Room As We Had To Close The Window To Minimise The Outside Noise And Thereby Shut Off Any Ventilation. We Didn't Complain As The Booking Was Through Secet Escapes And We Assumed This Was The Standard They Had Arranged For Us. However  For The Third And Final Night Of Our Stay We Checked To See If The Adjacent Room (32) Was Available As We Had Seen Through The Open Door That The Room Appeared Better And Cetainly Had A Decent Sized Bed. The Staff Kindly Arranged For Us To Move To This Room For Our Final Night.,,,,,,
,682,It Was Rather Noisy Outside Our Window Early Seemed To Be Rubbish Collection And Deliveries,,,,,,
,683,The Hotel Is In An Old Building With Sloping Floors. This Cannot Be Changed Of Course. However  In Our One (43)  It Was Almost Impossible To Put Anything On The Two Small Side Tables  Without Fear It Might Fall Off. How About Some Rubber Mats On The Table To Avoid Slipping?,,,,,,
,686,The Bed Was Very Uncomfortable.  We Both Woke With Bad Backs!  The Dog Said Her's Was Very Comfortable.,,,,,,
,698,Lamp Shades Were Wonky No Biggy  But These Details Add To The Whole Look Of The Pkace And We Had To Contact Reception For The Tv Remote As There Wasn't One In The Room.  Also The Radiator In En-Suite Far Too Hot And I Burnt My Backside Twice.  Double Beds Very Disappointing As Majority Of Hotels Now Do Have King Size.  Didnt Sleep Well As Room Very Stuffy Probably Owing To The Hot Radiator Which We Were Unable To Turn Down In En-Suite,,,,,,
,702,Suite 5 - We Were Very Pleased With Our Room And Loved The Design/Decor. The Only Issue Was That The Window In The Bedroom Area Did Not Seem To Close All The Way So We Had A Bit Of A Problem With A Draught Coming In! Other Than That It Was All Excellent.,,,,,,
,703,There Was No Coffee Making Facilities In Our Room And We If We Ordered A Coffee  Â£4 Would Be Charged To Our Account  Which We Felt Was Excessive.  All The Bedding Could Have Been A Lot Better Quality! The Overall Feel Of The Bedroom Was Not Luxurious.,,,,,,
,705,Suite 3..... Delightful  Bathroom Products Could Be More Upmarket... Maybe Miller Harris.... Jo Malone .... Molton Brown Etc Etc,,,,,,
,706,Rooms Differ Greatly. Some Are Bold In Clour Others Rather Gothic/Traditional. I Like The Former But You Could Put Pictures Of All Rooms On The Web So People Can See What Each Has And Ahat To Expect/Select,,,,,,
,708,Room 43 Which Was An Upgrade.I Had Little Sleep Due To A Pump Or Other Device Stop/Starting All Night Long Under The Floor Or In Wall Of The Bedroom. The Bathroom Was Somewhat Oppressive With No Window And With Hindsight I Wish We Has Stayed On The Top Floor Of The Adjoining Building With No Upgrade Where The Room Was Far Nicer  Windows And No Pump Or Device Keeping Me Awake.,,,,,,
,709,Twin Beds Pushed Together For A Suite Is Not Acceptable. Basic And Cheaply Decorated For A Suite.,,,,,,
,710,Room 28. It Was A Nice Room With The Corner Aspect And The Stand Alone Bath Was A Nice Surprise. No Tea/Coffee Making Facilities Was A Disappointment  But We Were Offered Tea/Coffee In The Room.,,,,,,
,711,Suite No1- Disappointed With Lack Of Tea Coffe Making Facilities. I Dont Want To Have To Ring For Room Service In The Morning. A Window Catch/Stay Broken. On Being Shown Room The Uoung Man Flicked A Switch For An Overhead Light In The Sitting Area. No Light Came On Presumably Bulb Gone. Nothing Said - No New Bulb Fitted And I Bet The Light Still Doesnt Work! Sheet Lovely And Good Quality. Good Towels.,,,,,,
,714,Would Have Liked Tea/Coffee Making Facilities,,,,,,
,717,51 Would Have Liked Tea And Coffee Making Facilities.,,,,,,
,720,Please Put Tea Making In Room,,,,,,
,721,No.51 Very Noisy By Other Guests And Staff  Using Stairs. There Should Be A Notice Advising To Use Quietly Not Like A Herd Of Elephants!!,,,,,,
,723,The Bed Was Too Small - It Was Only A Double - As I Am Pregnant I Would Have Wanted A Queen As A Minimum. There Was No Clear Indication From The Website To What A 'Coltsworth' Room Had. I Would Have Paid More To Get A Bigger Bed. There Was Also No Shower Cap In The Bathroom - That Is Probably A Basic Amenity One Can Expect From A Hotel With Quality Like Feathers.,,,,,,
,724,Really Pleased Again With Our Room,,,,,,
,726,Noise Levels From People Walking Around In Room Above Were Quite High,,,,,,
,727,The Water Pump Was Very Loud When Using The Tap To Wash Hands And The Water Would Stop And Start  Not Sure If This Was A Water Saving Device Or Flaw.,,,,,,
,728,Bathrobes Would Have Been Good  Our Room Was Lovely But A Bit Drafty At Night  So If If In Need Of The Bathroom A Robe Would Have Been Ideal.,,,,,,
,729,Suite 1. Shower Cap Would Be Nice,,,,,,
,730,Tea And Coffee Making Facilities Would Have Been Appreciated,,,,,,
,731,Problem With Hot Water But Management Were Proactive In Assisting Us.,,,,,,
,732,Suite 1.  Room Was Very Hot And We Did Ask For A Fan Which Did Take Quite Some Time To Be Delivered. We Do Understand That Hot Weather Is Rather Unusual!!,,,,,,
,742,Room 32. Everything Was Fine.,,,,,,
,743,No Tea-Making Facilities Which I Can Assure You Even In A Boutique Hotel  Should Be Standard. The Staff  However Brought Me A Kettle And Milk Immediately Although My Daghter Had To Go To The Shop And Buy Tea! Suite 1 Was Very Hot-A Fan Would Have Been A Lovely Addition But Ther Wasn't One To Be Found. We Couldn't Find A Hairdrier.,,,,,,
,746,The Room (23) Was Quite Small But Otherwise Everything Was Excellent.,,,,,,
,752,Binmens Lorry Woke Us Vv Early  So Maybe Double Glazing Needed In Room 42?,,,,,,
,753,I Cannot Remember My Room Number  But I Having Seen The Pictures On The Website  And Having Friends Who've Stayed Before  I Was Disappointed With The Room Decor  Although The Bathroom Wasn't Too Bad.,,,,,,
,755,We Stayed In Room 26 On The Night Of 9 March. I Was Not Made Aware At The Time Of Booking That The Room Had Significant Problems. When We Arrived I Couldn't Really Understand Why There Was Such A Large Aircon Unit In The Room. However  After Dinner When Going To Bed I Realised. The Room Is Terrifically Hot And Gets Even Hotter And During The Night The Aircon Is Required To Bring It Down To A Bearable Temperature. However  The Unit Is Very Noisy And Disturbed Our Sleep. When Asked The Following Morning How Our Stay Had Been  We Mentioned That It Had Been A Problem Trying To Sleep With The Aircon On  But Other Than 'Sorry About That' There Was Very Little Sympathy Demonstrated And No Offer Of A Discount Which Was The Least We Expected. Had I Known In Advance I Would Most Definitely Requested To Be Moved To Another Room. You Must Be Aware Of The Problem And To Charge That Room Out At You Standard Rate For Db&B Is Not Good Practice. Trying To Sleep Either In That Heat Or In That Noise Spoilt What Was Otherwise An Enjoyable Stay.  ,,,,,,
,758,Suite 2 -- A More Effective Fan For The Hot Weather!!  But I Am Sure That You Had Difficulty Obtaining Such Items - There Don't Seem To Be Any In The Country!!,,,,,,
,759,The Bedroom Window  A Sash Window   Was Difficult To Open/Close.The Chair Had A Burn Mark  Showing The Padding Underneath. We Pointed It Out To The Staff Member On Arrival. The Mohair Throw Was Beginnig To Look 'Matted'.,,,,,,
,762,Weird One. Your Towels Were Holed A Bit Surprised By That,,,,,,
,763,54. Mirror In Wardrobe Appeared To Be Coming Loose And Access To Room Slightly Hard With How The Room Was Laid Out. Apart From These Minor Factors The Room Was Gorgeous And Every Thing Else Of Fantastic Standard. Loved The Cosy Feel To The Room.,,,,,,
,766,Not Sure Of Room No. The Room Was A Lovely Big Size But Did Lack A Bath Which On A Leisure Visit I Really Enjoy. I Did Call To Check If We Could Change Room But I Understood They Were Fully Booked. There Was Blood Stains On The Wall Handle For The Toilet. We Found Our Sleep To Be Disturbed From Noise On The Floor Above Us  The Bed Also Made Alot Of Noise Whenever Either Of Us Moved Whilst Asleep.,,,,,,
,767,Snipe Room 51: There Were A Few Cobwebs Around The Room,,,,,,
,771,Good Decor Let Down By Rather Cheap Bin And Loo Brush - Suggested Lack Of Attention To Detail.,,,,,,
,777,No Tea Making In The Room,,,,,,
,782,51 I Think  Ground Floor On Street. Quiet Comfortable But Did Not Like Window So Close To Pavement Where People Walked By,,,,,,
,786,Thank You For The Upgrade To A Suite  Very Much Appreciated.,,,,,,
,788,We Were In Suite 5  Which Was Lovely.  The Only Downside Was The Fact That The Walls In The Toilets Has Splash Marks And The Walls Could Have Done With A Wipe; The Lighting Unfortunately Showed The Splash Marks Up A Treat!  The Light Above The Bath Didn't Work But We Didn't Suffer And Reported It The Next Morning.    It Was Otherwise Really Good.,,,,,,
,790,Just As Previously Mentioned- Low Water Pressure Of The Shower And The Creaky Staircase On Other Side Of The Wall To Bedhead ,,,,,,
,791,It Was Very Plush And Comfortable. Huge Bed!,,,,,,
,795,Rm 29. Bed Was Very Lovely And Massive!!,,,,,,
,796,Can't Remember Number But It Was Small,,,,,,
,797,We Both Felt It Was A Small & With Tired Decor.,,,,,,
,798,Top Of Stairs To The Right. Oh Yes The Bloody Towel Warmer Burnt My Arm.,,,,,,
,799,Can't Remember Room - Up The Narrow Staircase Opposite A Suite.  The Iron Bed Looks Nice But Not The Most Comfortable I Have Slept In!,,,,,,
,800,Room Was A Little Small But As We Got A Special Rate That Was Fine And It Was Only For One Night,,,,,,
,801,Suite 1 - Only One Each Of The Toiletries  One Bath And The Shower Gel Was Gone!,,,,,,
,806,We Appreciate That Coffee And Tea Could Be Ordered By Room Service  But We Would Really Have Appreciated Tea And Coffee In Our Room So We Could Make It As And When We Felt Like Doing It  Especially First Thing In The Morning.,,,,,,
,810,Slightly On The Small Side,,,,,,
,814,Please See My Other Comments.,,,,,,
,815,I Have Already Mentioned  I Think Room 54 In The Town House,,,,,,
,817,Few Towels. No Dressing Gown. Hardly Any Wash Products. No Shower Hat. Generally Ver Yvery Poor,,,,,,
,826,Larger Beds Where There Is Enough Room,,,,,,
,829,More Product Needed.,,,,,,
,830,Room 51 - Please See My Earlier Notes On The Issues,,,,,,
,831,A Little Small But Very Comfortable ,,,,,,
,832,Room 54  The Fabric Of The Armchair Has A Very Obvious Rip On The Front.  ,,,,,,
,835,Comments As Before With Regards To Our Room,,,,,,
,836,The Room Was Lovely Although I Think There Could Have Been Some Tea And Coffee Provided And The Tv On The Wall Was Small (Owl) Compared To The Size Of The Room,,,,,,
,838,Happy,,,,,,
,840,No Mirror In Bathroom. ,,,,,,
,841,Suite 5 Just Needs A Bit More Lighting In The Desk Vanity Area As I Was Using It As My Bridal Suite And Struggled To See My Hair Being Done And Lastinute Sewing Etc. ,,,,,,
,842,First Impression Was Ok But Overall  It Was Skimped On Real Quality  I'm Afraid. !,,,,,,
,843,Suite 3 - Perfect!,,,,,,
,844,Room 24 - The Only Negative Was That The Bathroom Radiator Was Very Hot And As It Is A Small Bathroom I Was Worried That I Would Burn Myself When Getting Dressed.,,,,,,
,845,On Our Next Stay We Would Prefer Not To Be In Room 29 As The Climb To The Top Should Be For Younger Clientel.,,,,,,
,846,Would Prefer Tea/Coffee Facilities In The Room,,,,,,
,847,Suite 1. Controls On Towel Rail Not Working  Therefore  Towel Rail Was On  Full  Throughout Our Stay.,,,,,,
,848,Suit 4. Pleasantly Decorated  And An Extremely Comfortable Bed.  ,,,,,,
,849,42,,,,,,
,850,No Tea/Coffee  No Hotel Information,,,,,,
,852,Number 54- On The Small Side But Cosy And Comfortable. Pillows Were My Only Issue A Bit Flat.,,,,,,
,854,Suite 2  We Were Grateful For The Upgrade  Though Only Used The Bedroom And Bathroom. The Night Table Lamps Were Faulty  The Knobs On The Antique Cupboard Did Not Match  And Were Not The Originals  So Could Have Matched. Otherwise A Very Pleasant Room,,,,,,
,858,Suite 4 - A Lovely Room. A Little More Art. A Few More Products In The Bathroom And A Better Tv/ Dvd Combo Would Make It Sublime ,,,,,,
,860,Would Of Been Nice To Have Tea And Coffee Making Facilities But Wasn't A Big Thing. Also Some Bubble Bath For Our Big Bath Would Have Just Set It Off  But That's Just Being Fussy. ,,,,,,
